x1; x2; x3; x4; x5; y
-6; -1; 2; -6; 8; 750
-5; 3; -1; 2; -7; 78
-8; -10; -4; -8; 4; 1029
-1; 3; 6; -10; -1; -346
4; 7; 8; -1; 1; -456
-9; 6; -6; 3; -10; -97
8; 9; -4; 0; 2; -1572
-10; 0; -6; 3; 9; 1133
1; 8; -4; -9; 7; -1131
-10; -6; 9; 9; 4; 2567
-2; -9; -2; -7; -4; 256
-2; 7; 4; -5; 0; -356
5; -6; -1; 7; -7; 63
2; 0; -8; 6; -2; -365
2; 0; 6; 0; -8; -121
-5; -3; -7; -7; 0; -42
7; 6; 9; 5; 5; -145
-8; -8; 7; 2; 7; 2143
4; 1; -3; 5; -4; -478
-3; 5; 4; 5; 7; 682
-8; -9; -8; 9; 5; 1684
0; 8; -6; 6; 3; -481
-6; 3; 9; 6; -6; 986
-9; 1; -6; 3; -6; 422
7; -4; 5; 4; 9; 471
0; 2; 7; 6; -10; 229
4; -10; 3; -6; -6; 17
8; -10; -10; 9; 8; 219
-10; -4; 8; -10; 6; 1407
2; 1; 6; -3; -8; -358
2; -5; 1; -8; -5; -350
-5; 3; -6; -2; 5; 14
-1; -3; 9; 7; -1; 1190
6; 3; -3; 1; -6; -1108
-10; -6; 8; 6; -5; 2025
5; -8; 2; -2; -6; -69
3; -3; -1; 3; -10; -294
-5; 1; -7; -4; 8; 108
-9; 7; 3; 9; -3; 908
-3; 8; 4; -1; 1; -83
1; -7; -5; -2; -10; -296
6; 7; -8; 1; -1; -1508
-2; 8; -7; -10; -4; -1461
4; -8; 1; 4; 6; 727
-9; 9; 5; -3; 7; 582
-3; -6; 4; -10; -4; 301
3; -10; 0; 3; 1; 683
2; -10; -2; -7; 3; 199
-6; -4; 4; -6; -8; 511
6; 1; -5; 1; 4; -710
-1; 6; -10; -10; -8; -1719
-4; -1; 6; -9; 4; 476
0; -3; 6; -7; 4; 350
-1; -1; 8; 1; 2; 768
4; 3; -5; 6; -8; -830
-6; 8; -9; 8; 9; 251
7; -9; -2; 5; 3; 292
7; -3; -2; 7; 7; 94
-7; 5; -8; 4; 8; 376
7; -10; 6; 9; -10; 563
-2; -2; 8; -6; 7; 741
9; -5; -9; -3; -7; -1384
-1; 9; 6; 8; 5; 392
-1; -9; -5; 7; 4; 1036
2; -3; -6; -5; 0; -550
0; 6; 3; 6; -1; 29
0; 2; -5; 9; 6; 295
5; 8; 4; -8; 8; -977
6; -3; -2; 6; 8; 172
-4; 1; 4; -10; 3; 124
7; -9; 9; -9; -3; -64
-6; -3; -10; -5; -4; -150
-9; -1; -9; 2; -10; 206
-5; 1; -7; 8; -8; 180
-9; 3; -8; -9; -1; -308
6; 0; -2; 1; -3; -719
8; -6; 3; -3; 5; -109
3; -2; -5; -10; -7; -1187
7; -8; 2; 1; -10; -243
-3; 0; -7; 6; 0; 243
4; 8; 0; -9; 3; -1339
6; -8; 4; -7; 6; 109
-6; 4; 8; -3; -3; 477
-5; 0; 2; -2; -4; 363
5; -6; 3; 6; 0; 485
-6; 2; -1; 1; -9; 123
3; 8; -8; 1; 8; -971
4; 7; -9; -8; -5; -2002
0; 2; 6; -10; 8; -43
7; 8; 2; -6; 6; -1245
0; -2; -4; -7; -10; -789
2; 3; -10; -3; 8; -828
9; 0; -10; -1; -4; -1599
7; 2; -10; 4; 1; -1107
0; 9; -3; 3; -5; -838
8; 6; 5; -3; 5; -897
1; -1; 8; -6; 8; 414
9; -4; 3; -1; -8; -715
2; -4; 0; 1; 6; 401
-5; 3; -7; -1; -7; -420
-10; 5; -5; 9; 8; 1102
0; -3; -4; 7; -1; 366
-5; -1; 7; 4; -9; 862
2; 1; -1; -7; -5; -858
2; 8; -10; -1; 9; -1059
9; 4; -1; 7; -1; -855
6; 5; -4; -9; 5; -1458
-9; 8; -1; -10; 4; -165
-1; 8; -2; 6; -2; -341
-10; 0; 4; -1; -6; 937
-6; 1; 6; 8; -1; 1256
-7; 1; 5; 7; 3; 1386
6; 2; 7; 2; -1; -239
-2; -6; 3; -6; 8; 797
4; -2; 9; 1; -1; 311
-3; -8; -3; 7; -1; 1085
9; -1; -2; -2; -3; -1094
2; 4; 6; 8; 4; 443
3; -2; 5; -6; 6; 57
-8; -9; 2; -9; 5; 1272
-2; -8; 7; -4; -1; 955
1; 5; 4; 1; -5; -350
-7; -2; 9; 1; -6; 1187
-4; 1; 2; -3; 6; 498
-6; 3; -7; 6; 3; 414
-6; -8; -9; 0; 8; 983
3; -10; 8; 7; 5; 1491
9; 7; -7; -8; -1; -2226
-1; 7; -7; -1; -3; -960
-7; -7; 0; 3; -3; 1274
3; 5; -1; -6; -9; -1344
-10; -2; -5; 8; -1; 1249
-3; 8; -1; 0; 0; -345
8; -4; -3; -6; -8; -1225
-4; -6; 9; -5; -9; 767
5; -2; -10; -9; -6; -1569
2; 6; -3; 4; 6; -355
4; -8; 2; 4; -4; 423
3; 1; -8; 9; 5; -122
8; 2; -4; 7; 4; -597
4; 7; -10; 9; -2; -1032
-4; 4; 4; 4; -3; 439
8; 2; 0; -2; -8; -1291
9; 1; -6; 5; -2; -1054
2; -2; 7; 7; 7; 1003
8; -1; 2; -3; -6; -936
3; -6; 1; 1; -7; 43
8; -1; -3; 6; -4; -658
-1; -6; -7; -3; -1; -21
-3; -6; -6; -6; 7; 353
-8; -1; 0; 5; -2; 1064
3; -1; -4; 1; -1; -396
-6; 3; 3; 3; -8; 416
-1; 6; -9; -4; 7; -799
0; 9; 6; -8; -7; -1000
5; -8; 2; 5; 5; 705
-10; -8; 0; -1; -6; 1313
4; 8; 3; -4; -2; -1081
-6; 9; 1; -5; -5; -470
-9; -5; 5; 0; -2; 1470
9; 1; -1; 7; -10; -954
4; 8; 4; -1; -6; -1007
8; 4; -8; -8; 1; -1889
-1; 8; 3; -9; 9; -475
6; -2; 2; -10; 6; -615
5; 7; 6; -4; 6; -646
3; 6; -3; 8; 9; -127
2; -5; 5; 7; 0; 864
-4; 8; 8; -3; -2; 21
-8; 0; 4; 5; -4; 1141
-3; -4; 0; 3; 1; 809
9; 5; -3; -4; 0; -1600
-8; -9; -5; 5; 9; 1780
7; 1; -10; -3; -4; -1590
-7; -1; -6; 9; 4; 1064
-10; -10; -5; 8; 4; 2029
-1; -4; -3; -5; -9; -343
