x1; x2; x3; x4; x5; y
-7; 0; -9; 4; -2; 168
-2; -5; 7; 5; 2; -318
0; -5; 6; -7; -10; -2004
-8; -3; 1; 3; 8; -70
3; -5; -4; -2; 7; 282
1; 2; -2; -6; 8; 158
0; -8; 3; -4; 9; -530
-10; -6; -10; -4; -1; -1008
7; 7; -2; 9; -10; 1082
-1; 8; -8; 2; 0; 934
2; -8; -2; -8; -9; -1648
-9; -6; 8; -7; 0; -2126
2; 8; 0; 5; -4; 720
-5; 6; -8; 4; -1; 670
9; 8; 8; -4; 1; 242
5; 9; -9; -4; 5; 1212
-5; 6; -5; 5; -4; 408
-2; 1; -3; -5; 5; -146
9; 3; 6; -7; -7; -738
5; -10; 5; 6; -7; -532
3; 7; 7; 5; 8; 1116
-10; 4; -5; -5; -8; -1218
1; -6; 8; -5; -9; -1858
9; 2; -1; 7; -5; 996
-1; -5; 3; -8; 1; -1296
-3; 0; 8; 1; -5; -954
0; -10; -1; -4; -4; -1266
6; -6; -7; 1; -10; -230
1; -4; 0; 1; -2; -306
-1; -6; 5; -2; 1; -912
9; 2; -3; -10; 5; 180
3; -1; 7; 9; -7; 44
7; -5; 2; -6; -4; -850
4; -4; 8; -10; 2; -1296
-10; -10; 2; -10; -3; -2576
-10; 7; 5; 0; -8; -1118
-10; -6; 7; 6; -7; -1390
-10; -1; -4; -3; -9; -1452
4; -3; -2; -1; 6; 388
-10; -10; 5; 9; 7; -350
0; -1; 4; -4; 6; -356
6; -4; -2; -10; -9; -1328
4; 3; -3; -4; -8; -370
-2; 4; -5; -9; 1; -482
-10; 1; -3; -9; 6; -978
-3; -7; 6; -2; 9; -646
9; 6; -7; 6; -9; 1212
-4; 5; 8; 0; 9; 84
-4; 8; -4; 1; 4; 684
-10; -3; 6; 8; 1; -460
3; 5; -2; -3; 3; 426
4; 9; -1; 3; 5; 1358
4; -10; -10; 2; -8; -220
9; 7; 9; -8; -8; -816
-1; 2; 3; -3; 6; -96
-1; 1; 4; -1; -9; -986
-9; -8; 0; 2; -3; -1178
3; 0; 0; 1; 7; 642
-9; -5; -2; -1; 2; -846
7; -3; 2; 0; 0; 78
-2; -6; -9; -10; -2; -1150
0; 7; 0; -9; 9; 72
4; 9; 5; 4; -6; 422
-8; 0; 3; 2; -2; -730
-2; -5; -9; -2; -2; -354
0; -3; -8; -3; 4; 136
5; 8; 0; -10; 1; -142
5; 1; -2; 3; -7; 230
-9; 7; 0; 7; 9; 950
9; 5; -3; -2; 5; 1096
-6; -9; -6; -2; -7; -1340
-5; -9; -7; 9; 5; 560
-2; -6; 3; 2; 8; -54
-8; 5; -7; -3; 3; -30
1; -10; -4; 9; -3; 222
-2; -5; 4; -7; 6; -1004
0; -7; 4; 2; -9; -1124
-1; 2; 1; 6; -2; 328
9; 3; -1; -6; -2; 52
-6; -7; -7; 7; 5; 430
-7; 8; 3; 6; -10; -328
7; -3; 2; -5; -9; -958
-3; -6; 4; 4; -5; -822
8; -8; -8; 6; -6; 552
-10; -9; 8; -10; 9; -2072
-9; -10; -9; 8; -9; -644
-2; -1; -2; -5; -5; -960
1; 5; 1; 1; -3; 116
6; -9; -10; -10; -8; -1132
0; 9; -4; -6; 4; 364
8; -6; 7; 0; -5; -626
5; -10; -3; 7; 5; 760
7; 3; -8; -8; -6; -142
9; 2; -7; -10; -4; -180
-3; -10; 7; -7; 0; -1916
1; 0; -10; 8; -9; 670
4; 7; -2; -6; -7; -304
5; 6; -3; 1; -8; 336
0; 2; -7; -6; 7; 298
-1; -1; -1; 0; -4; -424
0; 2; -7; -1; -10; -330
-9; 3; 9; -6; 7; -1100
-7; 4; -6; 9; -2; 706
-2; 5; 3; 9; 1; 802
-5; 4; -6; -1; -6; -338
-6; 0; -8; -3; 4; -80
1; 6; 4; -4; 1; -190
9; -8; 3; -5; 6; -220
-4; -3; 0; 0; 0; -540
-6; -3; -7; 6; 0; 258
7; 2; 6; 1; 1; 318
-5; 7; 9; -10; 9; -836
-10; -9; 0; -4; 0; -1664
-5; 4; -5; 0; 8; 596
-5; -7; -10; -6; -4; -1114
3; 7; -1; -5; 8; 628
8; -3; 5; 8; 9; 1294
-4; 1; -1; 7; 2; 526
3; -8; -8; -6; 3; -306
1; -6; -3; 8; 2; 636
-10; 6; 9; -6; -2; -1562
1; 3; -4; 6; 6; 1302
4; 6; -8; -1; 8; 1380
6; 1; -5; 2; -10; 174
6; -8; 9; -7; -10; -1950
8; -8; 2; -10; -9; -1652
-1; 1; 3; 0; 3; -72
-4; 6; 5; -5; 8; -218
-10; -8; -4; 0; -7; -1468
4; -10; 4; 0; 7; -200
-4; -6; 4; -3; -3; -1404
1; -7; 5; 8; -9; -560
-6; 2; -3; -3; -3; -678
-4; -2; -4; 9; -8; 52
5; -6; -7; 2; 6; 820
-3; 7; -6; 3; -9; 150
1; 5; -6; 3; 2; 998
8; 7; 0; -8; 0; 116
-1; -1; -8; 1; 4; 558
-3; -1; -3; 1; -7; -548
8; -7; 9; -1; -3; -758
-10; -5; 6; 7; 7; -288
1; -1; 4; 3; 5; 290
6; 3; 5; 7; -3; 662
3; 7; 8; 3; -4; 110
3; 3; 6; 6; -9; -66
-10; -4; -6; 4; -9; -880
-6; -10; -2; -1; 3; -884
4; -3; 2; 7; 6; 908
-10; -7; -5; 4; 4; -282
-3; 8; 2; 9; -3; 714
-6; 4; 2; 9; -8; -44
-8; 6; -5; -4; 3; -170
9; -6; -4; 6; -4; 650
-10; -9; 6; 3; 8; -832
4; -10; -9; 6; -7; 158
-8; 9; -4; -5; 2; -200
3; -4; -3; -6; 1; -464
7; -10; 8; -6; 5; -898
3; 3; 0; -4; 5; 234
3; 6; 4; 6; -2; 670
-7; 9; -10; -4; -3; -38
-1; 1; 3; -4; -3; -824
-1; -6; 7; -2; -9; -1660
1; -4; 9; 1; -10; -1304
7; 8; 6; -5; 5; 382
-9; -8; 1; -10; 4; -1888
6; -5; 3; 9; 8; 1178
5; -1; 2; 2; 5; 570
-7; -4; 3; 7; 6; 68
-5; 9; -10; 7; 7; 1746
0; -5; 6; -4; -9; -1664
-6; -4; 4; -3; 2; -1096
-6; -5; -4; 9; -4; -4
-2; 6; -1; 7; 1; 894
5; 3; 0; 1; 5; 826
-4; 8; -2; -1; 8; 648
9; -8; 4; 6; -3; 162
9; -2; -7; 6; -6; 924
-10; -8; 5; 5; 3; -854
0; 7; 3; 9; 1; 1054
8; -7; -2; 4; -10; -152
8; 9; 5; -10; -7; -666
4; 7; -3; -2; -4; 310
4; -3; 6; 2; -6; -536
