x1; x2; x3; x4; x5; y
-2; 2; -4; 1; 6; -193
-10; 2; 7; 4; 9; 197
5; 1; 6; -6; 8; -408
7; 1; 0; 4; 6; -714
-1; 4; 5; -1; 1; -10
-4; -9; -1; -6; -10; 519
-6; 7; -1; 8; 0; 57
1; 6; 2; 9; 1; -348
4; 9; 3; 9; 9; -719
3; -1; 9; -1; -10; 98
3; 8; 4; 1; -6; -104
2; -9; 9; 9; 2; -343
-2; 8; -4; -8; -1; 157
4; -4; -6; 1; 6; -527
-6; 0; -2; -8; 0; 383
-8; 8; 8; -10; -9; 831
1; -6; 3; -2; -6; 86
-2; 1; -4; 8; 9; -409
-1; 4; -10; 4; 6; -360
9; 9; 6; 2; -8; -388
4; 9; 1; -10; 3; -199
-3; 0; 6; -1; 8; -66
9; 1; 8; -7; 9; -618
1; -7; 9; 3; -9; 114
-5; 7; -4; 8; -7; 160
-7; 4; -10; -9; -1; 412
-7; 6; 2; -8; -10; 718
-7; 6; 5; 7; -1; 208
5; -8; -4; 3; 3; -520
9; -5; -8; 6; -3; -682
2; 0; -7; 4; -9; -103
3; -8; 3; -2; -2; -124
-3; -6; 0; 1; -7; 248
5; 2; 6; 0; -2; -270
-3; -1; 2; 6; -5; 102
9; 3; 9; 2; 5; -690
-7; -1; -9; 3; -3; 242
6; 6; -2; -2; -2; -357
-8; -5; 8; -9; 5; 473
-3; 5; -2; -5; 8; -60
8; 7; -1; -7; -5; -283
5; -2; 2; 3; -10; -146
-9; -2; 5; 1; -6; 584
-9; 8; 0; 8; -6; 384
-8; -9; -6; 3; 0; 259
-2; 7; 2; 7; 3; -197
6; -7; -5; -4; -1; -341
-2; 8; 6; -7; 3; 113
8; -6; -4; 5; 3; -729
-10; 8; 6; 1; 7; 289
5; -6; -7; -7; 0; -270
7; -4; 0; -6; 4; -452
7; 7; 4; 7; 1; -624
-6; -1; -6; 0; 3; 115
8; 8; -2; 8; -2; -671
4; 7; 6; -1; -10; 3
-3; 2; -3; 5; -10; 206
-7; -6; 7; -3; -8; 630
-2; -2; 0; -10; -1; 249
-9; -3; 8; 9; 1; 268
4; -9; 7; 1; -4; -153
4; 2; -4; -8; -6; -31
9; -4; -5; -7; 0; -478
2; 3; -6; 8; -9; -181
6; 3; -5; 9; 3; -725
0; 5; 1; 4; -6; -17
7; 7; -1; -5; 7; -580
2; 2; 7; -5; 4; -153
-10; -3; -4; 8; 4; 169
4; -2; 6; -5; -8; 49
-5; 2; 4; -8; -3; 450
5; 7; 6; -4; -7; -70
-3; 5; -5; 0; -6; 180
-3; -6; -2; -2; -4; 214
4; 2; 2; 3; -6; -203
5; -4; -8; -5; 9; -556
7; -5; 9; 2; 7; -616
-5; 5; -6; 9; -10; 206
-2; 6; 9; 4; -1; 25
3; -3; 0; 5; 2; -402
1; -1; 7; 0; 8; -296
5; 5; 5; -6; 0; -216
0; 3; -10; 0; 8; -385
-3; 6; 8; 5; -4; 130
8; -1; 6; -10; -4; -177
7; -10; -7; 7; 8; -860
5; -10; 2; -8; -1; -144
-1; -1; -2; 7; 6; -346
-1; 9; -9; -9; -7; 236
6; -10; -8; 9; 4; -749
-6; 2; 9; -10; -9; 741
3; 1; -10; 8; 2; -550
9; 2; 8; -2; 2; -538
0; 8; 7; 0; -6; 105
-5; 9; 2; -7; 9; 88
-5; 3; 5; 5; 3; 40
2; -10; 9; 2; 0; -149
-7; 3; -6; -8; 2; 348
1; -10; -2; 1; 4; -266
-10; 4; 2; 6; 4; 243
-6; -3; 9; 2; 0; 277
2; 7; 1; 9; -6; -231
-5; -7; -10; 6; 0; -2
-10; -8; -9; -7; -9; 777
2; 3; 5; 8; -2; -275
1; -4; -7; -10; -1; 32
5; -7; -6; 8; 9; -794
-7; -4; 8; -1; -10; 646
7; 8; 2; -8; 8; -524
-3; 1; 3; -7; -7; 418
5; 5; -5; 3; -8; -268
-2; -5; -2; 7; 1; -153
4; -10; -3; 0; 7; -497
2; -5; -3; 7; -7; -173
-1; -2; -8; -9; 1; 58
-6; 1; -2; -2; 5; 131
